n_high,high_fraction,n_edges,components,significant_components,largest_component_size,largest_component_share,isolated_share,endpoint_distance,path_length,path_hops,connected_region_supported,replicate,threshold,radius,rsm_r2
1350,0.0675,14078,51,22,194,0.1437037037037037,0.002962962962962963,0.3105396081103255,0.4251895472946976,7,False,7,0.9,0.1,0.8231137033267037
591,0.02955,2777,97,38,44,0.07445008460236886,0.0338409475465313,0.04035130367287217,0.0415243418637166,2,False,7,0.95,0.04,0.8231137033267037
591,0.02955,3523,78,29,53,0.08967851099830795,0.025380710659898477,0.11826385083090604,0.20511243290987524,5,False,7,0.95,0.06,0.8231137033267037
591,0.02955,4457,63,23,87,0.14720812182741116,0.02030456852791878,0.19011251438480092,0.2813029855973301,5,False,7,0.95,0.08,0.8231137033267037
591,0.02955,5141,44,18,97,0.16412859560067683,0.01015228426395939,0.1947937488007979,0.3503523039686164,5,False,7,0.95,0.1,0.8231137033267037
2861,0.14305,24384,210,26,59,0.020622160083886752,0.009087731562390773,0.04633934989530715,0.060938809412004434,3,False,8,0.8,0.04,0.8257577266376642
2861,0.14305,27312,159,31,162,0.05662355819643481,0.005592450192240475,0.19102840785172165,0.25166250485935276,7,False,8,0.8,0.06,0.8257577266376642
2861,0.14305,30041,106,28,256,0.0894792030758476,0.0027962250961202375,0.22569733296077227,0.30623833638628933,6,False,8,0.8,0.08,0.8257577266376642
2861,0.14305,31975,62,26,436,0.15239426773855294,0.0013981125480601187,0.29429580321775584,0.9959509818294754,18,False,8,0.8,0.1,0.8257577266376642
2084,0.1042,15934,184,31,55,0.026391554702495202,0.010076775431861805,0.033226792684260036,0.03716845899088356,3,False,8,0.85,0.04,0.8257577266376642
2084,0.1042,18312,140,35,160,0.07677543186180422,0.008637236084452975,0.1947937488007979,0.24210176082437262,6,False,8,0.85,0.06,0.8257577266376642
2084,0.1042,20997,98,30,222,0.10652591170825336,0.003838771593090211,0.20720108623235148,0.3832301383939103,6,False,8,0.85,0.08,0.8257577266376642
2084,0.1042,22763,60,28,241,0.11564299424184261,0.0014395393474088292,0.3667825270436168,0.5173615588657648,7,False,8,0.85,0.1,0.8257577266376642
1269,0.06345,8399,139,34,49,0.038613081166272656,0.013396375098502758,0.04035130367287217,0.0415243418637166,2,False,8,0.9,0.04,0.8257577266376642
1269,0.06345,9899,113,29,105,0.08274231678486997,0.01260835303388495,0.19011251438480092,0.28149337381013273,7,False,8,0.9,0.06,0.8257577266376642
1269,0.06345,11820,78,24,165,0.13002364066193853,0.008668242710795903,0.20594703036139625,0.32151360998527145,6,False,8,0.9,0.08,0.8257577266376642
1269,0.06345,12939,54,21,170,0.13396375098502758,0.0031520882584712374,0.31261057331763004,0.4498413248351536,6,False,8,0.9,0.1,0.8257577266376642
540,0.027,2821,85,35,29,0.053703703703703705,0.03518518518518519,0.02189010456131331,0.02454951431454062,2,False,8,0.95,0.04,0.8257577266376642
540,0.027,3261,72,32,41,0.07592592592592592,0.03148148148148148,0.13517227936866705,0.1902944097128152,5,False,8,0.95,0.06,0.8257577266376642
540,0.027,3825,56,27,75,0.1388888888888889,0.027777777777777776,0.18984147457323297,0.2452762438386496,4,False,8,0.95,0.08,0.8257577266376642
540,0.027,4485,38,19,145,0.26851851851851855,0.018518518518518517,0.3667825270436168,0.5568580499196764,7,False,8,0.95,0.1,0.8257577266376642
3014,0.1507,25470,225,22,103,0.03417385534173855,0.007962840079628402,0.0883933711627187,0.13978882885918642,6,False,9,0.8,0.04,0.8318577645066552
3014,0.1507,28125,172,25,220,0.072992700729927,0.006635700066357001,0.1942337204508306,0.33923413959989274,8,False,9,0.8,0.06,0.8318577645066552
3014,0.1507,31207,116,26,310,0.1028533510285335,0.0026542800265428003,0.25119036469211903,0.36219146712453754,6,False,9,0.8,0.08,0.8318577645066552
